product_id,vendor_id,market_date,customer_id,quantity,cost_to_customer_per_qty,transaction_time
4.0,7.0,2019-04-24,13.0,1.0,,
2.0,7.0,,,3.26,3.49,9:18:00
3.0,7.0,2019-08-21,4.0,4.0,0.5,18:09:00
,7.0,2020-09-02,7.0,1.0,0.5,
2.0,7.0,2019-09-21,6.0,2.22,3.49,12:54:00
3.0,7.0,2020-08-19,11.0,5.0,0.5,17:07:00
3.0,7.0,2019-09-14,17.0,2.0,0.5,12:32:00
2.0,7.0,2019-08-03,4.0,4.9,3.49,11:54:00
2.0,,2020-08-05,8.0,2.84,3.49,16:43:00
3.0,7.0,2020-07-22,15.0,3.0,0.5,17:33:00
1.0,7.0,2020-07-01,11.0,3.7,6.99,18:27:00
2.0,7.0,2019-09-07,6.0,1.26,3.49,
3.0,7.0,2019-07-06,5.0,1.0,0.5,11:50:00
2.0,7.0,2020-07-04,9.0,0.59,3.49,10:01:00
3.0,7.0,2020-09-09,20.0,4.0,0.5,18:42:00
4.0,7.0,2019-04-17,2.0,2.0,3.5,18:39:00
3.0,7.0,2020-08-05,6.0,1.0,0.5,18:03:00
,7.0,2019-05-04,6.0,1.0,4.0,11:01:00
2.0,7.0,,14.0,6.56,3.49,10:19:00
3.0,7.0,2019-08-24,3.0,2.0,0.5,10:32:00
4.0,7.0,2019-05-11,,4.0,4.0,9:40:00
4.0,7.0,2019-04-13,11.0,1.0,4.0,8:42:00
3.0,,,19.0,,0.5,13:32:00
4.0,7.0,2019-05-08,5.0,1.0,,16:16:00
3.0,7.0,2019-08-24,2.0,3.0,0.5,9:46:00
3.0,7.0,2019-07-27,8.0,,0.5,13:47:00
1.0,7.0,2019-09-07,,3.09,6.99,11:57:00
1.0,7.0,2020-08-26,14.0,0.91,,17:35:00
4.0,7.0,2019-05-29,8.0,2.0,4.0,
3.0,7.0,,5.0,4.0,0.5,
3.0,7.0,2020-08-05,1.0,4.0,0.5,18:34:00
1.0,7.0,2020-07-01,2.0,1.03,,18:54:00
2.0,7.0,2019-09-07,4.0,1.66,3.49,12:02:00
3.0,7.0,2020-07-01,13.0,1.0,0.5,18:48:00
1.0,7.0,2020-08-05,16.0,1.69,,18:22:00
2.0,7.0,2019-07-13,,6.7,3.0,9:29:00
3.0,7.0,2020-09-26,24.0,3.0,0.5,11:08:00
,7.0,2019-05-25,,2.0,,12:22:00
4.0,7.0,2019-04-13,11.0,2.0,,8:48:00
3.0,7.0,2020-09-23,16.0,2.0,0.5,18:52:00
2.0,7.0,2020-07-04,6.0,3.47,3.49,10:59:00
3.0,7.0,2019-07-17,8.0,5.0,0.5,16:08:00
2.0,7.0,2019-08-28,8.0,1.86,3.49,18:12:00
3.0,,2020-07-15,,5.0,0.5,16:47:00
2.0,7.0,2019-07-06,3.0,2.28,3.49,12:20:00
3.0,7.0,2020-07-29,6.0,2.0,0.5,
4.0,7.0,2019-04-06,,2.0,4.0,13:16:00
3.0,7.0,2019-09-07,24.0,2.0,0.5,9:23:00
3.0,7.0,2019-09-07,,4.0,0.5,12:08:00
4.0,7.0,2019-05-18,13.0,2.0,4.0,13:18:00
3.0,7.0,2019-08-17,,,0.5,9:28:00
3.0,7.0,2020-08-08,4.0,,,10:58:00
,7.0,2019-07-06,12.0,3.6,6.99,9:33:00
4.0,7.0,2019-05-04,2.0,1.0,4.0,11:24:00
3.0,7.0,2020-09-30,14.0,2.0,0.5,17:05:00
2.0,,2020-09-02,,1.28,,
3.0,,2020-07-29,5.0,2.0,0.5,18:17:00
1.0,7.0,2019-08-10,2.0,1.29,6.99,
2.0,,,18.0,5.09,3.49,
3.0,7.0,2020-09-16,1.0,3.0,0.5,18:31:00
2.0,7.0,,2.0,3.94,3.49,18:52:00
2.0,7.0,2020-07-22,12.0,1.95,3.49,16:26:00
1.0,7.0,2019-07-13,10.0,2.28,6.99,
,,2019-05-18,17.0,3.0,,11:18:00
2.0,7.0,,1.0,1.87,3.49,18:41:00
4.0,7.0,2019-04-27,17.0,3.0,3.5,10:46:00
2.0,7.0,2019-09-25,8.0,1.01,3.49,16:08:00
3.0,7.0,2020-07-29,7.0,,0.5,
3.0,7.0,2019-09-18,8.0,1.0,0.5,17:14:00
3.0,7.0,2019-09-25,10.0,2.0,0.5,
1.0,7.0,,20.0,,6.99,
,7.0,2019-09-21,4.0,0.45,3.49,10:18:00
3.0,7.0,2019-07-03,3.0,5.0,0.5,18:10:00
4.0,7.0,2019-06-12,7.0,3.0,4.0,17:12:00
3.0,7.0,2020-09-09,21.0,7.0,0.5,16:43:00
3.0,7.0,2019-07-17,5.0,4.0,0.5,18:45:00
4.0,7.0,2019-05-22,10.0,3.0,,17:25:00
,7.0,2019-07-13,24.0,0.65,6.99,12:52:00
3.0,7.0,2019-08-10,,1.0,0.5,
2.0,7.0,2020-07-11,13.0,1.89,,11:54:00
3.0,7.0,2019-08-07,5.0,4.0,0.5,18:15:00
1.0,7.0,2019-07-31,19.0,3.69,6.99,18:11:00
1.0,7.0,2019-08-28,9.0,3.68,6.99,18:28:00
,7.0,2019-07-31,7.0,1.43,,
4.0,7.0,2019-06-05,12.0,2.0,,
3.0,7.0,2020-07-04,7.0,5.0,0.5,8:49:00
,7.0,,,,0.5,18:48:00
2.0,7.0,2019-08-10,22.0,5.25,3.49,9:04:00
,7.0,2019-09-21,4.0,0.45,3.49,10:18:00
4.0,7.0,2019-05-08,18.0,1.0,4.0,18:06:00
3.0,7.0,2019-09-28,18.0,5.0,0.5,10:47:00
4.0,7.0,,11.0,1.0,4.0,
1.0,7.0,2019-09-25,21.0,2.08,6.99,17:28:00
3.0,7.0,,24.0,3.0,0.5,10:19:00
,,2019-09-21,13.0,5.0,0.5,10:56:00
1.0,7.0,2019-08-10,,4.57,,13:20:00
2.0,7.0,,12.0,,3.49,16:25:00
1.0,7.0,2019-07-13,5.0,0.71,6.99,13:43:00
2.0,7.0,2020-07-01,1.0,1.58,3.49,16:10:00
3.0,7.0,2020-07-01,5.0,2.0,0.5,17:03:00
,7.0,2019-07-27,,1.15,6.99,9:08:00
2.0,7.0,2019-09-25,,4.71,3.49,16:16:00
3.0,7.0,2019-08-21,17.0,3.0,0.5,18:59:00
3.0,7.0,2019-07-13,6.0,2.0,0.5,
4.0,7.0,2019-05-29,12.0,3.0,4.0,18:04:00
1.0,7.0,2019-07-24,14.0,0.39,6.99,17:16:00
4.0,7.0,2019-06-01,3.0,5.0,4.0,13:55:00
3.0,7.0,2019-08-24,8.0,5.0,0.5,11:47:00
4.0,7.0,2019-06-05,12.0,2.0,,
,7.0,2019-07-31,3.0,2.64,,18:36:00
,7.0,,,6.0,,18:55:00
,7.0,2019-07-31,7.0,3.0,0.5,18:51:00
4.0,,2019-04-20,2.0,1.0,4.0,13:44:00
3.0,7.0,2019-07-13,10.0,1.0,0.5,11:21:00
3.0,7.0,2020-09-02,1.0,,0.5,18:53:00
3.0,,2019-07-24,13.0,4.0,0.5,18:57:00
2.0,7.0,2019-08-31,4.0,4.59,3.49,10:06:00
1.0,7.0,2020-08-26,22.0,0.57,6.99,18:16:00
1.0,7.0,2020-07-22,,2.12,6.99,
1.0,7.0,2019-07-06,14.0,3.04,6.99,
3.0,7.0,2019-07-24,5.0,3.0,0.5,18:53:00
1.0,7.0,2020-08-22,4.0,4.56,6.99,13:28:00
4.0,7.0,2019-05-29,12.0,3.0,4.0,18:04:00
2.0,7.0,2019-09-11,,2.21,3.49,18:01:00
2.0,7.0,2020-08-01,11.0,2.27,3.49,12:01:00
4.0,7.0,2019-04-20,11.0,,4.0,13:30:00
3.0,7.0,2020-07-25,17.0,5.0,0.5,11:16:00
4.0,7.0,2019-04-13,5.0,5.0,4.0,
2.0,7.0,2019-07-20,3.0,2.7,3.49,13:52:00
4.0,7.0,2019-04-17,1.0,5.0,3.5,16:09:00
1.0,7.0,2020-08-08,26.0,1.51,6.99,11:02:00
1.0,7.0,2019-09-28,13.0,1.14,,8:54:00
3.0,7.0,,20.0,5.0,0.5,12:37:00
3.0,7.0,2020-07-01,3.0,,0.5,16:34:00
2.0,7.0,2019-07-27,23.0,,3.49,13:51:00
3.0,7.0,2020-08-05,7.0,5.0,0.5,18:53:00
3.0,,2019-08-24,,4.0,0.5,8:56:00
,7.0,2019-09-28,19.0,3.93,3.49,13:42:00
4.0,7.0,2019-04-17,9.0,4.0,3.5,17:45:00
3.0,7.0,2020-07-22,10.0,,0.5,17:47:00
4.0,7.0,2019-04-03,7.0,5.0,4.0,17:59:00
4.0,7.0,2019-04-03,16.0,2.0,4.0,18:58:00
2.0,7.0,2019-08-28,5.0,5.24,3.49,17:38:00
2.0,,2019-09-04,11.0,3.51,3.49,
4.0,7.0,2019-05-01,1.0,,4.0,18:49:00
1.0,7.0,,20.0,,6.99,
3.0,7.0,,1.0,1.0,0.5,18:59:00
3.0,7.0,2019-07-17,14.0,5.0,0.5,17:47:00
3.0,7.0,2019-08-31,1.0,5.0,0.5,11:38:00
3.0,7.0,2019-09-11,,4.0,0.5,18:54:00
4.0,7.0,2019-04-13,11.0,2.0,,8:48:00
,7.0,2019-05-25,12.0,2.0,4.0,9:59:00
3.0,7.0,2020-09-23,,4.0,0.5,18:35:00
2.0,7.0,2019-09-25,7.0,2.63,3.49,18:16:00
3.0,7.0,2020-07-22,3.0,,0.5,17:16:00
4.0,7.0,,2.0,,3.5,13:54:00
1.0,7.0,2020-09-30,57.0,5.0,,15:35:00
3.0,7.0,2019-07-24,26.0,2.0,0.5,16:29:00
4.0,,2019-05-29,7.0,2.0,4.0,18:59:00
2.0,7.0,2020-08-19,12.0,2.47,3.49,18:16:00
4.0,7.0,2019-05-11,8.0,2.0,4.0,13:37:00
3.0,7.0,2020-09-12,17.0,5.0,0.5,11:04:00
4.0,7.0,2019-04-24,8.0,5.0,4.0,18:45:00
3.0,7.0,2020-09-26,21.0,2.0,0.5,
2.0,7.0,2020-08-01,15.0,6.04,3.49,
4.0,7.0,2019-04-06,16.0,3.0,4.0,13:34:00
3.0,7.0,2020-07-11,19.0,2.0,0.5,13:53:00
3.0,7.0,2019-08-07,23.0,2.0,0.5,18:36:00
2.0,7.0,2020-08-01,1.0,1.79,3.49,10:18:00
2.0,7.0,2019-07-06,14.0,1.68,3.49,13:37:00
3.0,7.0,2019-07-24,6.0,5.0,0.5,17:16:00
4.0,7.0,2019-04-06,16.0,3.0,4.0,13:34:00
3.0,,2019-09-11,1.0,,,16:28:00
3.0,7.0,2020-09-30,6.0,1.0,0.5,18:01:00
3.0,7.0,2019-09-07,,,0.5,13:25:00
2.0,7.0,2020-08-29,10.0,,3.49,
,7.0,2019-05-01,4.0,2.0,4.0,
4.0,7.0,2019-05-15,1.0,2.0,4.0,18:49:00
2.0,7.0,2020-08-12,13.0,3.96,,16:39:00
4.0,7.0,2019-05-18,,4.0,4.0,
2.0,,2020-08-15,19.0,2.43,3.49,12:36:00
3.0,,2020-09-16,11.0,4.0,0.5,18:52:00
3.0,7.0,2019-08-21,10.0,4.0,0.5,17:19:00
3.0,7.0,2020-08-26,8.0,2.0,0.5,
2.0,7.0,2020-07-29,26.0,3.08,3.49,18:38:00
4.0,7.0,,12.0,2.0,4.0,18:31:00
1.0,7.0,2020-08-29,2.0,0.62,,8:54:00
,7.0,2020-07-18,8.0,2.0,0.5,11:59:00
,7.0,2020-07-29,,3.64,,18:46:00
4.0,7.0,2019-04-20,2.0,4.0,4.0,13:36:00
2.0,7.0,2019-08-17,14.0,1.05,3.49,8:35:00
2.0,7.0,2020-07-18,20.0,2.12,3.49,12:18:00
2.0,7.0,2020-09-09,12.0,,3.49,16:45:00
2.0,,2020-08-29,21.0,3.54,3.49,8:55:00
3.0,7.0,2019-08-14,16.0,2.0,0.5,18:37:00
4.0,7.0,2019-04-27,13.0,4.0,3.5,11:43:00
,7.0,2019-04-03,4.0,1.0,4.0,18:09:00
3.0,7.0,2020-08-05,15.0,3.0,0.5,17:05:00
3.0,7.0,2020-09-23,11.0,,0.5,18:37:00
3.0,7.0,2020-07-15,15.0,,0.5,
3.0,,2019-09-07,14.0,5.0,0.5,13:28:00
1.0,7.0,2020-09-05,1.0,0.27,6.99,11:41:00
3.0,,,8.0,1.0,0.5,17:46:00
,,2019-04-20,7.0,4.0,4.0,9:58:00
,7.0,2019-05-25,12.0,2.0,4.0,9:59:00
2.0,7.0,2020-07-08,,5.13,3.49,18:43:00
,7.0,2019-06-15,11.0,1.0,4.0,12:39:00
1.0,7.0,,26.0,0.75,6.99,11:29:00
,7.0,2019-05-29,14.0,3.0,4.0,18:57:00
3.0,7.0,2019-07-03,3.0,4.0,0.5,
2.0,7.0,,4.0,3.41,3.49,13:49:00
3.0,7.0,2020-09-19,13.0,5.0,0.5,10:59:00
2.0,7.0,2020-09-19,15.0,3.88,3.49,
1.0,7.0,,19.0,2.74,6.99,17:30:00
1.0,7.0,2020-09-12,7.0,0.64,6.99,11:14:00
4.0,7.0,2019-05-25,2.0,2.0,4.0,13:31:00
2.0,7.0,2020-09-12,15.0,0.72,3.49,13:16:00
3.0,7.0,2020-08-01,5.0,1.0,,9:42:00
3.0,7.0,2020-08-08,13.0,2.0,0.5,9:38:00
3.0,7.0,2019-07-13,7.0,5.0,,10:20:00
3.0,,2019-08-28,2.0,,0.5,16:28:00
4.0,7.0,2019-06-05,4.0,5.0,4.0,17:00:00
2.0,7.0,2020-09-19,,3.36,3.49,11:54:00
1.0,7.0,2020-07-11,24.0,1.53,,11:40:00
2.0,7.0,2020-07-18,18.0,5.59,3.49,9:04:00
,,2020-09-05,6.0,0.82,3.49,11:42:00
4.0,7.0,2019-04-27,2.0,5.0,3.5,13:19:00
1.0,7.0,2020-09-26,4.0,,6.99,10:44:00
2.0,7.0,2020-07-15,21.0,5.02,3.49,18:52:00
3.0,7.0,2019-09-28,21.0,,0.5,9:05:00
1.0,7.0,2019-07-20,15.0,,6.99,12:04:00
,,2019-09-07,4.0,1.0,0.5,13:53:00
2.0,7.0,2019-07-24,18.0,2.46,3.49,
,7.0,2019-07-31,22.0,1.07,,18:04:00
2.0,7.0,2019-07-17,13.0,3.09,3.49,17:29:00
3.0,7.0,2019-09-25,7.0,3.0,0.5,16:36:00
,7.0,2019-04-24,18.0,,4.0,17:37:00
3.0,7.0,2020-08-12,,1.0,0.5,16:45:00
3.0,,2020-07-18,6.0,4.0,,10:01:00
3.0,7.0,2020-07-11,,3.0,0.5,13:49:00
4.0,7.0,2019-05-11,6.0,,4.0,11:00:00
1.0,7.0,2019-07-06,23.0,2.56,6.99,12:46:00
1.0,7.0,2019-07-10,3.0,2.48,6.99,18:40:00
1.0,7.0,2019-09-28,3.0,2.43,6.99,9:23:00
3.0,7.0,2019-09-21,13.0,1.0,0.5,11:05:00
3.0,7.0,2020-07-29,13.0,3.0,0.5,17:37:00
1.0,7.0,,17.0,0.03,6.99,12:56:00
,7.0,2019-06-15,2.0,5.0,4.0,9:59:00
,7.0,2019-08-10,,1.85,3.49,8:57:00
3.0,7.0,2019-08-17,14.0,4.0,0.5,9:31:00
3.0,7.0,2019-08-31,3.0,4.0,0.5,8:47:00
2.0,7.0,2019-09-14,,,3.49,10:07:00
2.0,,2019-07-31,,5.53,3.49,16:28:00
1.0,7.0,2019-08-24,,1.67,6.99,8:35:00
4.0,7.0,2019-05-11,12.0,,4.0,9:32:00
2.0,7.0,2020-09-30,,2.45,3.49,
4.0,7.0,2019-05-29,6.0,3.0,4.0,16:56:00
,7.0,2019-08-24,2.0,5.0,0.5,9:12:00
3.0,7.0,2020-07-08,5.0,3.0,0.5,18:54:00
1.0,7.0,2020-09-02,14.0,2.68,6.99,16:41:00
3.0,7.0,2019-07-27,10.0,5.0,0.5,10:34:00
3.0,7.0,2020-08-08,13.0,2.0,,9:47:00
4.0,7.0,2019-04-06,14.0,2.0,4.0,13:50:00
2.0,7.0,2020-07-11,18.0,3.13,3.49,13:54:00
1.0,7.0,2020-07-25,19.0,0.74,6.99,12:03:00
2.0,7.0,2020-09-30,6.0,2.26,3.49,18:04:00
3.0,7.0,2019-09-21,2.0,3.0,0.5,9:24:00
2.0,7.0,2020-07-25,14.0,3.87,3.49,13:37:00
3.0,7.0,2020-07-22,2.0,2.0,0.5,18:29:00
3.0,,2020-08-05,4.0,1.0,,16:46:00
3.0,7.0,2020-07-29,,1.0,,17:23:00
2.0,7.0,2020-07-15,3.0,2.85,3.49,18:47:00
4.0,7.0,2019-04-27,1.0,,3.5,12:26:00
4.0,7.0,2019-06-15,8.0,1.0,4.0,
3.0,7.0,2020-07-25,3.0,2.0,0.5,13:34:00
3.0,7.0,2020-07-01,4.0,4.0,0.5,17:19:00
,7.0,2020-07-18,20.0,6.64,3.49,13:00:00
3.0,7.0,2020-08-05,12.0,3.0,0.5,18:23:00
3.0,7.0,2020-08-08,11.0,,0.5,13:34:00
4.0,7.0,2019-06-12,6.0,3.0,4.0,18:39:00
3.0,7.0,2020-08-26,5.0,4.0,0.5,18:58:00
3.0,7.0,2020-09-02,26.0,6.0,0.5,18:04:00
2.0,7.0,,13.0,3.3,3.49,16:55:00
2.0,7.0,2020-07-04,,1.58,3.49,13:12:00
3.0,7.0,2020-09-05,10.0,3.0,0.5,12:10:00
,7.0,2020-07-29,,5.0,0.5,17:34:00
4.0,7.0,,,5.0,4.0,18:09:00
2.0,7.0,,13.0,1.94,3.49,10:55:00
4.0,7.0,2019-05-01,16.0,,4.0,18:57:00
2.0,7.0,2020-07-29,15.0,,3.49,16:39:00
3.0,7.0,2020-09-26,1.0,5.0,0.5,8:51:00
,,2020-09-26,4.0,2.73,3.49,
2.0,7.0,2020-07-15,14.0,3.13,3.49,18:31:00
2.0,7.0,2019-09-28,,4.16,,10:09:00
2.0,7.0,2019-07-31,18.0,3.41,3.49,18:12:00
3.0,7.0,2020-09-16,6.0,2.0,0.5,18:03:00
1.0,7.0,2019-08-07,13.0,0.31,6.99,18:38:00
2.0,,,22.0,2.75,3.49,18:41:00
3.0,7.0,2020-08-22,7.0,,0.5,13:36:00
2.0,7.0,2019-07-10,21.0,3.59,3.49,17:13:00
2.0,7.0,2020-07-11,13.0,1.89,,11:54:00
1.0,7.0,,13.0,2.36,6.99,13:46:00
4.0,7.0,2019-05-04,11.0,5.0,4.0,11:05:00
3.0,7.0,2019-08-07,5.0,1.0,0.5,18:53:00
4.0,7.0,2019-05-15,12.0,1.0,4.0,17:06:00
3.0,7.0,2019-08-17,17.0,1.0,0.5,13:30:00
,7.0,2020-08-22,2.0,,,10:03:00
3.0,7.0,2020-07-29,7.0,4.0,0.5,18:32:00
3.0,7.0,2020-07-11,14.0,3.0,0.5,13:56:00
2.0,7.0,2019-08-10,12.0,1.48,3.49,8:55:00
1.0,7.0,2020-07-15,21.0,1.63,6.99,18:43:00
2.0,7.0,,22.0,,3.49,9:20:00
3.0,7.0,,,1.0,0.5,18:22:00
3.0,7.0,2020-08-22,12.0,2.0,0.5,9:41:00
,,2019-09-11,4.0,2.25,6.99,18:37:00
3.0,7.0,2020-08-08,4.0,3.0,0.5,
2.0,7.0,2020-09-09,6.0,4.57,3.49,18:45:00
1.0,7.0,2020-09-19,25.0,1.49,,13:29:00
2.0,,2019-08-31,,3.31,3.49,12:24:00
2.0,7.0,2019-08-07,24.0,2.47,3.49,18:07:00
2.0,,2020-09-30,9.0,2.93,,18:33:00
2.0,7.0,2019-08-10,18.0,4.46,,13:56:00
2.0,7.0,2020-08-29,6.0,1.04,,13:18:00
2.0,7.0,,,3.73,3.49,
,,2019-05-01,3.0,4.0,4.0,17:10:00
4.0,7.0,2019-06-12,10.0,2.0,,18:48:00
